kg CO2e/km,Unknown,Diesel,Petrol,Hybrid,CNG,LPG,Plug-in Hybrid Electric Vehicle,Battery Electric Vehicle
Unknown,0.166638587919463,0.169826448880537,0.163908534228188,0.118978587919463,0.175044197315436,0.197040597315436,0.0939164120805369,0.0547964416107383
Small car,0.140368857718121,0.139306448880537,0.140798534228188,0.101498857718121,,,0.0540229932885906,0.0482282859060403
Medium car,0.172458436241611,0.167156448880537,0.178188534228188,0.109038436241611,0.156604197315436,0.176070597315436,0.0850073342281879,0.0526663489932886
Large car,0.2261158,0.208586448880537,0.272238534228188,0.1524358,0.238454197315436,0.269140597315436,0.101584382550336,0.05737
Mini,0.130105119463087,0.107746448880537,0.130298534228188,,,,,0.0443381932885906
Supermini,0.14048706442953,0.132146448880537,0.237158534228188,,,,0.0540229932885906,0.0490671785234899
Lower medium,0.155205173154362,0.143456448880537,0.164728534228188,,,,0.0831183489932886,0.0525663489932886
Upper medium,0.167935648322148,0.160496448880537,0.192108534228188,,,,0.0868662268456376,0.0547703154362416
Executive,0.182641277852349,0.173096448880537,0.212318534228188,,,,0.0888617973154363,0.0500662563758389
Luxury,0.259869543624161,0.211196448880537,0.318088534228188,,,,0.115139275167785,0.0583732120805369
Sports,0.22616595704698,0.169436448880537,0.237158534228188,,,,0.0996696416107383,0.0834804456375839
Dual purpose 4X4,0.20270690738255,0.201946448880537,0.204048534228188,,,,0.103275582550336,0.0610424751677852
MPV,0.17864690738255,0.176596448880537,0.184258534228188,,,,0.0990220751677852,0.0793324751677852
